"age_group","functional_status","probability"
"65-69","independent",0.347971237801746
"70-79","independent",0.463533641499743
"80+","independent",0.188495120698511
"65-69","limited",0.167770419426049
"70-79","limited",0.402869757174393
"80+","limited",0.429359823399558
