"age_group","sex","physical_health","cognitive_function","psychological_condition","social_resources","socioeconomic_resources","health_behavior","probability_limited"
"80+","male","mid","low","mid","high","mid","high",0.291230033303578
"80+","female","low","low","mid","mid","high","high",0.291036282095932
"80+","female","low","high","mid","high","low","low",0.290957335713997
"80+","female","mid","mid","mid","high","low","low",0.290005600513476
"65-69","female","low","low","low","mid","low","low",0.289982033985228
"70-79","female","low","mid","low","low","mid","low",0.289800849239381
"65-69","male","low","low","low","low","low","high",0.289502974910717
"65-69","male","low","low","mid","mid","high","high",0.28949616030364
"80+","male","low","high","mid","high","high","low",0.289429167392103
"65-69","male","high","high","low","high","mid","low",0.289344990033348
"80+","female","mid","low","low","low","high","high",0.289327355095371
"70-79","male","mid","low","high","low","mid","high",0.289289259131467
"65-69","female","mid","low","low","mid","mid","low",0.289194845395768
"70-79","female","low","low","low","low","high","mid",0.288885057339522
"70-79","male","mid","low","low","mid","low","high",0.288790602990205
"70-79","male","mid","mid","low","low","mid","low",0.288725781233362
"65-69","male","mid","low","low","low","mid","high",0.288716557971225
"70-79","male","low","mid","low","mid","high","high",0.288521027108562
"80+","female","low","low","high","mid","mid","high",0.288115255127805
"65-69","male","low","mid","high","high","mid","low",0.287915184269804
"65-69","male","low","mid","mid","low","mid","low",0.287795827831965
"70-79","female","high","low","low","low","high","low",0.287788089421205
"80+","male","low","high","high","low","mid","high",0.287761468207496
"70-79","female","low","mid","low","high","mid","mid",0.287728631073772
"70-79","female","low","mid","low","mid","low","low",0.28692721798228
"70-79","female","high","mid","low","high","mid","low",0.286634284384048
"65-69","male","low","mid","low","low","low","low",0.28656657290976
"80+","male","high","low","low","mid","low","high",0.286416499087945
"70-79","male","mid","low","mid","mid","mid","high",0.28637372876918
"80+","female","low","mid","low","low","mid","mid",0.286342628417555
"80+","male","mid","low","high","low","high","high",0.286259294189847
"65-69","male","high","low","mid","mid","mid","low",0.286253894028053
"70-79","male","mid","low","high","high","high","low",0.286241517041064
"80+","male","low","high","mid","mid","mid","low",0.286121009399568
"70-79","male","mid","mid","low","mid","low","low",0.285858519424199
"70-79","female","high","low","low","high","high","mid",0.285724473255134
"65-69","male","mid","low","high","low","mid","mid",0.285676150364165
"70-79","male","mid","high","low","high","high","high",0.28566918328069
"65-69","female","low","low","high","low","low","low",0.285028870666082
"80+","female","mid","mid","high","low","mid","low",0.28494632914552
"70-79","male","high","low","high","high","mid","mid",0.284917279565155
"70-79","male","mid","mid","low","mid","high","mid",0.284896342935211
"70-79","male","mid","low","mid","low","high","high",0.284856726034715
"80+","female","high","low","low","mid","high","mid",0.284761687584755
"65-69","female","low","low","low","high","mid","high",0.284690114350407
"80+","male","low","mid","high","mid","mid","low",0.284496360222634
"80+","male","mid","high","low","low","mid","low",0.284429365148035
"70-79","male","low","low","high","mid","high","mid",0.284307353770715
"80+","male","high","low","mid","mid","high","low",0.284300115377223
"65-69","male","high","low","low","low","mid","mid",0.283875335371322
"70-79","male","low","mid","high","low","high","high",0.283582851918926
"80+","male","high","mid","low","mid","low","low",0.28349891142978
"80+","female","mid","low","high","mid","low","low",0.283440592795468
"80+","female","low","high","mid","high","mid","low",0.283387221084832
"80+","male","mid","low","mid","mid","high","high",0.283362125502089
"70-79","female","low","low","mid","mid","low","low",0.283283157357357
"80+","male","mid","mid","low","mid","mid","mid",0.283223625323468
"65-69","female","low","low","high","high","high","low",0.283165590314872
"65-69","female","low","low","mid","low","high","low",0.283047420195211
"70-79","male","high","low","high","low","high","high",0.282981944175977
"70-79","male","low","high","low","mid","low","low",0.282800136578413
"65-69","male","mid","low","mid","mid","mid","mid",0.282782545239982
"80+","female","high","low","high","low","mid","high",0.282143244168845
"80+","female","mid","mid","mid","mid","mid","low",0.282057197427667
"70-79","female","low","mid","high","low","low","low",0.282005509228178
"70-79","male","low","mid","mid","mid","high","low",0.281956784166251
"80+","male","high","low","low","low","high","mid",0.281931378530314
"70-79","male","low","low","mid","high","mid","high",0.281869846342084
"80+","male","mid","low","high","mid","mid","low",0.28174173197608
"65-69","female","mid","low","low","high","low","low",0.281657950276535
"80+","female","high","low","mid","high","high","low",0.281576862742621
"70-79","male","high","low","low","low","low","low",0.281427719871881
"65-69","male","mid","low","low","mid","low","mid",0.281329839291765
"80+","female","mid","low","mid","low","low","high",0.280987157853707
"80+","female","low","high","low","low","high","mid",0.280550595553943
"65-69","male","high","mid","low","mid","high","low",0.280290684606933
"80+","female","low","high","high","mid","low","low",0.280221033078445
"70-79","male","high","low","mid","high","mid","low",0.279853936933813
"80+","female","mid","mid","low","mid","high","mid",0.279367124207237
"65-69","male","low","mid","mid","high","high","low",0.279248099325378
"80+","female","mid","high","high","low","high","low",0.27917149156907
"80+","male","low","high","high","mid","high","low",0.27872708722452
"80+","male","high","mid","high","low","mid","low",0.278570008020885
"70-79","female","mid","mid","low","mid","mid","low",0.278431224077567
"80+","male","low","mid","mid","mid","high","mid",0.278232774604667
"80+","male","low","mid","high","high","mid","mid",0.27817366465502
"70-79","female","low","low","high","high","mid","mid",0.278151784209732
"80+","male","low","mid","mid","low","mid","mid",0.278056769684406
"70-79","female","low","low","mid","low","mid","mid",0.278034894892159
"70-79","male","low","high","high","low","low","low",0.277921628792213
"70-79","female","mid","low","low","mid","high","mid",0.277537320462237
"80+","male","mid","high","low","mid","high","mid",0.277470153078697
"65-69","male","mid","mid","low","mid","mid","low",0.277398904610128
"80+","male","high","low","high","mid","low","low",0.277084909335141
"80+","male","mid","mid","low","low","high","mid",0.276569699891366
"80+","female","mid","high","mid","mid","high","low",0.276318285785536
"65-69","male","high","low","low","mid","mid","high",0.276177977680036
"70-79","male","low","high","high","high","high","low",0.276160283713596
"70-79","male","low","high","mid","low","high","low",0.276043911254641
"70-79","male","mid","low","mid","low","low","mid",0.276031847976206
"70-79","male","low","high","low","mid","mid","mid",0.275826203521317
"80+","male","low","mid","low","low","mid","high",0.27581168704919
"80+","male","mid","low","high","high","mid","mid",0.275456687339825
"80+","female","mid","mid","low","high","mid","high",0.275419563903915
"80+","female","mid","low","mid","high","low","mid",0.275334654679705
"65-69","male","low","low","mid","high","mid","high",0.275144841887352
"80+","male","high","low","mid","low","mid","mid",0.275023139471024
"80+","female","low","mid","high","high","high","mid",0.274359605933179
"80+","female","high","high","high","low","low","low",0.274349591770997
"80+","male","high","low","low","mid","high","high",0.274266544156298
"80+","female","low","mid","mid","low","high","mid",0.27424370478247
"70-79","male","high","low","high","low","low","mid",0.274192878206486
"80+","male","mid","mid","mid","high","high","low",0.273247697800639
"80+","female","high","mid","low","mid","mid","low",0.272987546903937
"80+","male","high","high","high","low","high","low",0.272875081332603
"80+","female","low","high","high","mid","mid","low",0.27282277298009
"65-69","female","mid","low","low","mid","high","low",0.272756342168703
"80+","male","low","high","high","high","high","mid",0.272483780229714
"65-69","male","mid","mid","mid","low","high","low",0.272437082297354
"80+","female","low","low","mid","high","low","high",0.272425078955703
"80+","male","low","high","mid","low","high","mid",0.272368374070253
"70-79","female","low","low","low","mid","low","mid",0.27235226491745
"65-69","male","mid","low","low","low","high","high",0.272294826940715
"65-69","male","low","high","low","mid","low","low",0.272286333099411
"70-79","female","mid","low","low","low","mid","mid",0.272263972867836
"80+","male","mid","high","mid","low","low","low",0.271552494079331
"80+","female","mid","low","high","mid","high","low",0.271368869820795
"70-79","male","low","low","high","mid","mid","high",0.27134054622516
"70-79","female","low","high","low","low","high","low",0.271331471722371
"70-79","female","high","low","low","mid","low","low",0.271294125537048
"70-79","male","low","high","high","low","mid","mid",0.271022538954179
"80+","male","high","low","high","high","low","mid",0.27086457242076
"70-79","female","mid","low","high","high","mid","low",0.270746067433411
"70-79","female","low","low","low","mid","high","high",0.270716804966169
"70-79","male","mid","high","low","low","high","low",0.270298842473795
"80+","male","low","high","low","low","high","high",0.27015203385736
"70-79","male","high","mid","low","mid","high","low",0.270002739703796
"65-69","male","high","low","mid","mid","high","low",0.26991908044399
"80+","female","mid","high","low","high","high","high",0.269764959751519
"65-69","male","mid","low","high","high","mid","low",0.26973159036068
"65-69","female","low","high","low","high","mid","low",0.269510604042154
"65-69","male","mid","low","high","low","high","mid",0.26936186318398
"70-79","female","low","high","low","high","high","mid",0.26934123330444
"65-69","male","low","high","low","mid","mid","mid",0.269191340972875
"70-79","female","mid","high","low","high","low","low",0.268996490642614
"80+","male","mid","mid","low","mid","high","high",0.268996026866395
"80+","female","mid","low","mid","low","high","high",0.268980702678747
"65-69","male","high","low","low","high","low","high",0.26885201048306
"70-79","male","mid","low","mid","high","high","mid",0.268813309847956
"65-69","male","low","mid","high","mid","high","low",0.268780079852775
"65-69","male","low","high","low","low","high","mid",0.268703443682213
"65-69","female","low","low","low","high","high","high",0.268410978499524
"70-79","male","mid","mid","mid","low","mid","low",0.268405456191111
"65-69","male","mid","low","mid","low","mid","high",0.268396637110321
"70-79","female","high","high","low","high","high","low",0.268290479027784
"80+","female","low","mid","low","mid","mid","high",0.268273949804268
"80+","male","high","mid","low","high","mid","mid",0.268244915629967
"80+","female","mid","mid","low","mid","low","mid",0.268242644477931
"65-69","male","high","low","low","low","high","mid",0.267625358789526
"70-79","female","low","low","high","low","low","mid",0.26758674556599
"65-69","male","low","high","high","low","low","low",0.267521543255971
"80+","female","high","high","low","mid","high","low",0.267364449880523
"80+","male","low","mid","mid","mid","low","mid",0.267136720556062
"65-69","male","high","low","high","mid","mid","low",0.267055124770377
"80+","female","high","high","high","low","mid","low",0.267048833743434
"80+","female","high","low","low","low","mid","mid",0.266896273548139
"70-79","male","high","mid","high","low","mid","low",0.266598584742072
"65-69","male","mid","low","mid","mid","high","mid",0.266571838029125
"80+","female","high","mid","low","low","high","low",0.266484696364762
"65-69","male","high","mid","low","high","low","low",0.266046636401712
"70-79","female","low","low","high","low","high","high",0.265969442336257
"80+","male","high","low","mid","high","low","low",0.265958081449975
"70-79","female","low","low","low","low","mid","high",0.26552542141274
"80+","male","mid","mid","low","low","low","mid",0.265515571447106
"70-79","female","low","mid","high","high","high","low",0.265268912180309
"80+","male","high","low","high","mid","high","low",0.265183698558835
"70-79","female","low","mid","mid","low","high","low",0.265155448046783
"80+","male","mid","low","mid","high","low","high",0.265058195439501
"65-69","male","low","low","high","mid","mid","high",0.264774133190119
"70-79","female","high","low","high","high","high","low",0.264692473506963
"70-79","male","mid","high","low","high","mid","high",0.264663070141696
"80+","female","high","mid","low","high","high","mid",0.264517103738161
"65-69","male","low","high","high","low","mid","mid",0.264461028554696
"80+","male","mid","high","mid","low","mid","low",0.264299059417171
"65-69","male","mid","high","low","high","low","low",0.264281140413652
"80+","male","low","mid","high","high","high","high",0.264106275690068
"80+","male","low","mid","mid","low","high","high",0.263993130172114
"80+","female","low","mid","high","low","mid","high",0.263553944410434
"80+","female","mid","low","mid","high","high","mid",0.263481220502593
"80+","female","low","mid","high","high","low","mid",0.263361654235956
"80+","female","low","mid","mid","low","low","mid",0.263248713604885
"80+","male","low","high","mid","high","low","low",0.263172676758406
"70-79","male","high","low","mid","low","mid","mid",0.263148542775642
"80+","female","low","high","low","mid","high","high",0.262712859913956
"80+","male","high","high","low","high","high","mid",0.262684211532313
"65-69","male","low","mid","high","high","high","mid",0.262678436091674
"65-69","male","low","mid","mid","low","high","mid",0.262565684019769
"70-79","female","high","low","low","high","mid","high",0.262526056633548
"80+","male","mid","mid","mid","high","low","low",0.262278207727816
"80+","female","low","low","high","mid","low","high",0.262119812708551
"80+","female","low","mid","low","low","high","high",0.261842941988324
"70-79","male","low","low","mid","mid","high","high",0.26179867041646
"65-69","male","low","high","low","mid","high","high",0.261267386501361
"65-69","male","mid","high","low","high","mid","mid",0.261244475057494
"65-69","male","high","low","high","high","mid","mid",0.260978663592347
"80+","female","mid","low","high","low","mid","high",0.260928143265094
"65-69","female","low","mid","low","mid","high","low",0.260849146324475
"80+","female","low","low","mid","high","high","high",0.26065185063826
"70-79","female","mid","high","low","mid","high","low",0.260420745657484
"65-69","male","low","mid","low","low","high","high",0.260400564465533
"70-79","female","mid","low","high","low","low","low",0.26036086214844
"65-69","male","high","low","low","mid","high","high",0.26020852061788
"70-79","male","high","low","mid","mid","high","low",0.259874361965053
"70-79","female","mid","mid","low","low","high","low",0.259555745639098
"70-79","male","low","mid","low","low","mid","mid",0.259514595706771
"65-69","male","low","low","mid","high","high","high",0.259213730260987
"80+","male","high","low","high","high","high","mid",0.259134764168342
"70-79","male","mid","mid","high","low","high","low",0.259103014835715
"65-69","male","high","high","high","low","high","low",0.258862939794472
"70-79","male","high","low","high","high","low","low",0.258657160992283
"80+","female","mid","low","mid","mid","mid","high",0.258194603841697
"80+","male","mid","mid","low","mid","low","high",0.258136594383358
"80+","female","low","high","high","low","high","high",0.258056190594322
"70-79","male","high","low","low","low","high","mid",0.257635876689029
"70-79","female","mid","low","mid","mid","low","low",0.257631194043055
"70-79","female","mid","mid","low","high","high","mid",0.257621344857851
"80+","male","mid","mid","high","low","mid","low",0.25752720035496
"70-79","male","low","mid","low","mid","low","mid",0.256832675079073
"80+","male","high","low","low","low","mid","high",0.256823145339635
"80+","male","mid","mid","mid","low","high","mid",0.256796031529403
"65-69","male","low","high","high","low","high","high",0.256627420595682
"70-79","male","high","mid","low","high","mid","mid",0.256559411502231
"80+","female","high","low","high","low","low","high",0.256492490816239
"70-79","male","mid","mid","mid","mid","high","low",0.256381963024098
"70-79","male","mid","low","mid","high","mid","high",0.256300096142276
"65-69","female","low","mid","high","low","high","low",0.256214031986627
"65-69","male","high","low","mid","high","mid","low",0.256188328118006
"80+","male","mid","low","high","mid","low","low",0.256114458244062
"80+","male","low","high","mid","high","mid","low",0.256064393273114
"65-69","male","mid","low","high","low","low","low",0.255743929505722
"80+","female","high","mid","low","low","low","low",0.255691185050242
"70-79","male","low","high","high","high","mid","low",0.255603193044582
"70-79","male","low","high","mid","low","mid","low",0.255492425593744
"65-69","male","low","high","mid","mid","high","low",0.255100879119241
"80+","male","mid","mid","mid","mid","mid","low",0.254817005780847
"80+","female","low","high","low","low","low","mid",0.254810719233644
"70-79","female","mid","low","low","mid","mid","high",0.254766537656002
"65-69","female","high","low","high","low","mid","low",0.254541649178255
"80+","male","high","mid","low","high","high","high",0.254502596848388
"80+","male","high","low","mid","high","high","low",0.254366624637807
"65-69","male","high","low","low","low","low","low",0.254064688691728
"65-69","male","mid","low","high","high","high","low",0.254004077551143
"80+","female","high","mid","low","high","low","mid",0.253775714540273
"80+","female","mid","high","high","low","low","low",0.253513559433603
"80+","male","mid","low","mid","high","high","high",0.253492414759463
"65-69","male","mid","high","low","high","high","high",0.253473311202274
"70-79","male","low","low","mid","mid","low","mid",0.253434981987303
"70-79","female","low","low","mid","high","low","low",0.25341882717874
"80+","male","low","mid","high","high","low","high",0.253375821968558
"80+","male","low","mid","mid","low","low","high",0.253265691359298
"65-69","male","low","mid","low","low","mid","mid",0.253134948689054
"80+","male","low","high","high","mid","low","low",0.25309565807459
"65-69","female","mid","mid","low","high","high","low",0.253063273758107
"65-69","male","mid","low","mid","mid","low","low",0.25304610584538
"65-69","male","mid","low","mid","high","mid","mid",0.25295236447511
"65-69","male","mid","mid","low","mid","high","mid",0.252756752736989
"65-69","male","mid","low","mid","low","high","high",0.25272002563397
"70-79","female","mid","low","mid","low","mid","mid",0.252690619405611
"80+","female","mid","mid","mid","high","mid","low",0.252276618348222
"70-79","male","low","mid","low","mid","mid","high",0.252245117113611
"70-79","male","low","mid","high","low","low","mid",0.252244574826012
"70-79","male","low","mid","mid","high","high","low",0.252183083038252
"80+","male","mid","high","high","low","high","low",0.252112126919896
"80+","male","mid","high","low","mid","low","mid",0.251913940177863
"65-69","male","high","low","high","mid","high","low",0.251429940416192
"70-79","female","mid","low","low","high","low","high",0.251367120849283
"80+","female","low","mid","low","low","low","high",0.251173059217645
"70-79","female","low","mid","low","high","high","high",0.251120143840267
"70-79","female","low","high","low","low","mid","low",0.251009184156149
"70-79","female","high","low","high","low","mid","mid",0.250953249814229
"80+","female","mid","high","mid","mid","low","low",0.250831334303755
"65-69","female","low","low","mid","mid","mid","low",0.250821136190753
"70-79","male","mid","high","mid","low","high","low",0.250818073073544
"80+","female","low","low","high","mid","high","high",0.250638522267725
"70-79","male","high","low","low","mid","high","high",0.250401228417306
"80+","male","mid","low","high","high","low","mid",0.250201957172132
"70-79","male","mid","high","low","low","mid","low",0.250027358787689
"80+","male","high","low","mid","low","low","mid",0.249794454404253
"80+","female","high","low","low","mid","mid","high",0.249625473269241
"80+","male","mid","high","mid","mid","high","low",0.249439774615632
"65-69","male","low","high","high","high","mid","low",0.249287329408687
"65-69","male","low","low","high","mid","high","high",0.249237025273159
"65-69","male","low","high","mid","low","mid","low",0.249178382794235
"70-79","female","low","high","low","high","mid","mid",0.249117048842488
"70-79","male","high","high","high","low","high","low",0.249089286825275
"65-69","male","high","high","low","high","high","mid",0.24901615802333
"70-79","male","mid","mid","low","mid","mid","mid",0.248916724400004
"80+","male","low","mid","mid","high","high","mid",0.248716104841474
"70-79","female","high","high","low","high","mid","low",0.248118400644341
"80+","female","low","high","low","low","mid","mid",0.247852318906733
"70-79","male","low","mid","high","low","mid","high",0.247711653299575
"80+","male","high","high","high","low","low","low",0.247597063148268
"70-79","male","mid","low","high","mid","mid","low",0.247552338536665
"65-69","male","high","low","high","low","low","mid",0.24729120274387
"65-69","female","low","mid","low","high","low","low",0.247253671787374
"80+","male","low","high","high","high","low","mid",0.247229685705476
"80+","male","low","high","mid","low","low","mid",0.247121342328349
"65-69","male","low","mid","low","mid","low","mid",0.246951861087911
"80+","female","mid","high","mid","high","high","low",0.24693523087006
"80+","female","mid","high","high","low","mid","low",0.246578860831377
"80+","male","high","mid","low","mid","mid","low",0.246322750068788
"80+","male","mid","mid","mid","low","low","mid",0.246263194960367
"70-79","male","low","mid","mid","mid","mid","low",0.246220580658385
"70-79","male","mid","mid","low","high","low","high",0.246176927710026
"80+","male","low","high","high","mid","mid","low",0.246168621156233
"65-69","male","low","mid","low","mid","mid","high",0.245984810756667
"65-69","male","high","low","high","high","high","mid",0.245589880108059
"70-79","male","high","low","low","low","mid","high",0.245468296975203
"70-79","female","high","low","mid","mid","mid","low",0.24531569773295
"80+","female","high","low","high","low","high","high",0.245175786494476
"80+","male","low","high","low","low","low","high",0.245041258592533
"80+","male","mid","high","low","mid","mid","mid",0.245008636531524
"80+","female","high","low","high","high","mid","mid",0.244900751748944
"80+","male","mid","low","high","mid","high","low",0.244808941274149
"80+","female","mid","high","low","high","low","high",0.244678101525847
"80+","female","high","mid","high","high","high","low",0.244511780576139
"80+","male","high","mid","low","high","low","high",0.244032941027402
"80+","female","mid","high","mid","mid","mid","low",0.243946029302836
"70-79","female","high","low","mid","low","high","low",0.243941843445178
"65-69","male","high","mid","high","low","mid","low",0.243674617079395
"65-69","male","low","low","mid","mid","low","mid",0.243642029265725
"70-79","female","low","low","high","mid","low","low",0.243591817659831
"70-79","male","low","high","low","high","low","high",0.243398397551249
"65-69","male","low","mid","high","low","low","mid",0.242482680318013
"80+","female","high","high","low","mid","low","low",0.242426716762998
"70-79","male","low","mid","high","mid","high","low",0.242388435166022
"70-79","male","low","high","low","low","high","mid",0.242316830269123
"70-79","male","high","low","low","mid","low","mid",0.2422821498047
"80+","female","high","low","low","low","low","mid",0.242164070011216
"70-79","male","high","low","high","mid","high","low",0.241845350626198
"70-79","male","mid","low","high","high","mid","mid",0.241773255076627
"65-69","male","low","mid","high","low","mid","high",0.241527517885659
"65-69","male","high","mid","low","high","high","high",0.241121033926427
"80+","male","high","high","low","mid","high","low",0.241066780521945
"65-69","male","high","low","mid","high","high","low",0.24098989994323
"80+","male","high","high","high","low","mid","low",0.240772005907591
"65-69","female","low","low","low","mid","mid","mid",0.240722131904173
"70-79","female","mid","high","low","mid","mid","low",0.24064577155965
"70-79","female","mid","mid","mid","low","high","low",0.24059395601228
"65-69","male","high","low","mid","low","mid","mid",0.240423982673444
"80+","male","low","high","high","high","mid","mid",0.240411519516283
"80+","male","low","high","mid","low","mid","mid",0.240305210233763
"80+","male","high","mid","low","low","high","low",0.240245183226135
"70-79","male","mid","high","low","high","low","mid",0.240149247896612
"70-79","male","low","low","high","high","low","high",0.240148610927346
"65-69","male","low","mid","mid","mid","mid","low",0.240061791225762
"70-79","male","low","low","mid","low","low","high",0.240042381163001
"70-79","male","mid","low","high","low","high","high",0.240032608611003
"65-69","male","mid","high","low","mid","mid","low",0.239707006778576
"70-79","male","high","high","low","high","high","mid",0.239494143794267
"65-69","male","mid","mid","low","high","low","mid",0.239446420775158
"65-69","female","high","low","high","low","high","low",0.239409467399122
"65-69","male","mid","high","low","low","high","low",0.239255053441702
"80+","male","mid","low","high","high","high","mid",0.239073553473614
"80+","male","low","mid","high","mid","high","mid",0.239013074605928
"70-79","female","high","mid","high","low","high","low",0.23891316741391
"80+","male","high","low","mid","low","high","mid",0.238678405940342
"65-69","male","mid","mid","low","high","mid","high",0.23849945289344
"80+","male","low","mid","mid","high","low","mid",0.238408366461162
"80+","male","low","high","low","low","mid","high",0.238264342691641
"70-79","male","high","low","mid","low","low","low",0.238226381948337
"80+","female","low","high","low","mid","low","high",0.238068008578886
"80+","male","high","high","low","high","low","mid",0.238041179993906
"80+","female","mid","high","low","high","mid","high",0.237908064180911
"65-69","male","mid","low","mid","high","high","mid",0.237884513687268
"70-79","male","low","mid","high","high","low","low",0.237545437676193
"70-79","male","mid","low","mid","mid","high","high",0.237447645553167
"70-79","male","low","mid","mid","low","low","low",0.237439999598253
"70-79","male","low","mid","high","high","high","mid",0.236691981707871
"70-79","male","low","mid","mid","low","high","mid",0.236586804902901
"80+","female","mid","low","high","low","low","high",0.236570517041528
"65-69","female","low","low","high","low","mid","mid",0.23633031096165
"70-79","male","high","low","high","high","high","mid",0.236157681918082
"65-69","female","low","low","low","low","low","low",0.235846130551925
"65-69","female","low","low","mid","mid","high","low",0.235840159727165
"80+","female","high","high","low","mid","mid","low",0.235699534412504
"80+","male","high","low","high","high","mid","high",0.235391221284692
"70-79","male","low","high","low","mid","high","high",0.235375962964504
"70-79","male","high","mid","low","mid","mid","low",0.235285173706934
"65-69","female","mid","low","low","low","mid","low",0.235157227589508
"70-79","male","mid","low","low","low","low","high",0.234803568273108
"70-79","male","low","mid","low","low","high","high",0.2345677663477
"80+","female","high","mid","high","high","low","low",0.234323939248791
"65-69","male","high","mid","low","high","mid","mid",0.234222992657477
"65-69","female","low","low","low","high","low","mid",0.234032581162333
"80+","female","mid","low","mid","mid","low","high",0.234011357395304
"65-69","male","low","high","low","high","low","high",0.233871776612095
"80+","male","high","mid","high","low","high","mid",0.233724689891542
"80+","female","low","high","high","low","low","high",0.233709705629756
"70-79","male","low","low","mid","high","high","high",0.233461505581403
"65-69","female","mid","low","low","high","mid","mid",0.233347357914293
"70-79","female","low","mid","low","low","low","low",0.233174320934946
"65-69","male","high","low","high","high","low","low",0.232790852941773
"80+","male","high","low","low","low","low","high",0.23272805327253
"80+","female","mid","mid","low","mid","mid","mid",0.232418133477903
"70-79","male","mid","mid","low","low","low","low",0.232240625866927
"70-79","male","mid","high","low","mid","high","mid",0.232201038971607
"70-79","male","mid","low","high","low","low","mid",0.232145607703913
"70-79","male","high","mid","low","high","high","high",0.231807730230383
"70-79","male","high","low","mid","high","high","low",0.231680114976512
"70-79","male","mid","high","mid","low","mid","low",0.231543988105467
"80+","female","low","high","low","mid","mid","high",0.231424829105823
"80+","male","low","mid","mid","mid","mid","mid",0.231413199803434
"70-79","male","mid","mid","low","low","high","mid",0.23140044473633
"80+","male","high","high","low","high","mid","mid",0.231398521798719
"70-79","female","low","low","mid","mid","mid","mid",0.231393818353785
"70-79","female","low","mid","low","high","low","mid",0.231375095806767
"80+","female","high","low","low","low","high","mid",0.231282896341339
"70-79","male","low","high","high","low","high","high",0.231051998327211
"70-79","female","low","mid","high","high","mid","low",0.230967447213678
"70-79","female","low","mid","mid","low","mid","low",0.230864044805306
"65-69","male","low","low","high","high","low","high",0.230710400654895
"65-69","male","low","low","mid","low","low","high",0.230607078816371
"70-79","female","high","mid","low","high","low","low",0.230425744925227
"80+","male","high","mid","low","low","low","low",0.230180950803115
"70-79","female","low","low","high","high","high","mid",0.230177316729889
"80+","female","mid","low","mid","high","mid","high",0.230125933328749
"70-79","female","low","low","mid","low","high","mid",0.230074162228757
"80+","male","mid","mid","low","low","mid","mid",0.229940822862815
"70-79","male","high","high","high","low","mid","low",0.229907282017535
"70-79","male","low","high","mid","mid","high","low",0.229630596586973
"70-79","male","mid","low","mid","mid","low","mid",0.229619918277143
"70-79","female","mid","low","mid","high","low","low",0.2296048146471
"70-79","male","low","high","low","low","low","low",0.229571487727092
"80+","male","low","mid","high","mid","low","mid",0.228984900694969
"65-69","male","mid","mid","high","low","high","low",0.228941636819667
"80+","male","high","low","mid","mid","mid","mid",0.228727229856471
"70-79","male","mid","mid","mid","high","high","low",0.228449661263232
"65-69","male","mid","low","low","low","low","mid",0.228289841706663
"65-69","male","low","mid","high","high","low","low",0.228178813427544
"65-69","male","high","high","low","mid","high","low",0.228175440350542
"80+","male","mid","high","high","low","low","low",0.228153988924132
"65-69","male","low","mid","mid","low","low","low",0.228076289209794
"80+","female","low","mid","mid","mid","high","mid",0.228037730877594
"80+","female","low","mid","high","high","mid","mid",0.227985916353482
"70-79","female","high","low","high","mid","mid","low",0.22798558359415
"80+","female","low","mid","mid","low","mid","mid",0.227883453217172
"65-69","male","high","mid","low","low","high","low",0.227384615295446
"80+","female","mid","high","low","mid","high","mid",0.227369350603761
"65-69","male","low","high","mid","high","high","low",0.227265492857657
"80+","female","low","high","high","low","mid","high",0.227151885564933
"80+","male","mid","mid","mid","high","mid","low",0.227003155019713
"70-79","male","high","high","low","high","low","low",0.226852816901021
"80+","female","mid","mid","low","low","high","mid",0.226580499185625
"65-69","male","mid","mid","mid","mid","high","low",0.226440526071882
"80+","male","low","high","mid","mid","high","mid",0.226379808708224
"65-69","female","low","low","low","mid","high","mid",0.226162254733078
"80+","female","high","low","low","mid","low","high",0.226000311157045
"65-69","male","high","low","mid","low","high","mid",0.225876774100033
"80+","female","mid","low","high","low","high","high",0.22586577070478
"70-79","female","mid","mid","low","low","mid","low",0.22576603643572
"70-79","male","low","low","mid","high","low","mid",0.225726287370672
"80+","male","mid","high","mid","mid","low","low",0.225658964676799
"80+","female","mid","low","high","high","mid","mid",0.225605923296473
"65-69","male","mid","low","mid","high","low","low",0.225367093412285
"70-79","male","mid","mid","high","low","mid","low",0.225354305698679
"65-69","male","mid","low","high","low","mid","high",0.225346465453301
"80+","female","mid","mid","high","high","high","low",0.225238456456145
"80+","female","high","low","mid","low","mid","mid",0.22522644680569
"70-79","female","mid","low","low","low","high","mid",0.224988494004408
"80+","male","mid","high","low","low","high","mid",0.224930084645899
"65-69","male","mid","mid","low","low","mid","low",0.224868128586763
"80+","female","high","mid","mid","low","high","low",0.224859418582502
"70-79","male","high","low","high","high","mid","high",0.224697443271783
"70-79","male","mid","mid","low","mid","high","high",0.22467954140324
"65-69","female","high","low","low","mid","mid","low",0.224211451049588
"70-79","male","low","low","high","mid","high","high",0.224176016904795
"70-79","female","mid","mid","low","high","mid","mid",0.224007276382965
"80+","male","high","mid","high","low","low","mid",0.223853129238257
"65-69","male","high","low","low","low","mid","high",0.223806797513373
"70-79","female","mid","low","high","high","high","low",0.223653153998743
"70-79","male","low","high","low","low","mid","mid",0.223501132183649
"80+","female","mid","low","mid","mid","high","high",0.223388527468271
"70-79","female","mid","mid","low","mid","low","low",0.223327698186796
"80+","female","mid","high","mid","high","low","low",0.223322150942992
"65-69","female","low","low","mid","high","mid","low",0.22331273789008
"80+","male","mid","mid","low","mid","mid","high",0.223249999586902
"80+","female","low","high","high","high","high","mid",0.223005441522239
"80+","female","low","high","mid","low","high","mid",0.222904570463119
