"age_group","sex","physical_health","cognitive_function","psychological_condition","social_resources","socioeconomic_resources","health_behavior","probability_limited"
"70-79","male","low","low","low","mid","high","low",0.645204815725435
"80+","male","low","low","low","mid","high","mid",0.640965805200532
"70-79","male","low","low","high","low","high","low",0.639650317984551
"70-79","male","low","low","low","low","mid","low",0.639125639117334
"80+","female","high","low","low","high","high","low",0.637532062398332
"80+","male","mid","low","low","mid","low","low",0.636709960775254
"80+","female","low","low","mid","mid","mid","low",0.636109945399038
"70-79","male","high","low","low","high","mid","low",0.635557915010491
"80+","male","low","low","high","low","high","mid",0.63538244708762
"80+","male","low","high","low","high","low","low",0.63502338948476
"80+","female","mid","low","low","low","mid","low",0.634187306451282
"80+","female","low","low","low","high","high","high",0.631995809762466
"80+","female","mid","low","low","high","mid","mid",0.631843398931849
"65-69","male","low","low","low","low","mid","low",0.631370874685565
"80+","female","mid","mid","low","high","high","low",0.631353711542644
"80+","male","low","low","high","high","low","low",0.630904914286447
"80+","male","low","low","mid","low","low","low",0.630769320916318
"65-69","male","low","low","low","high","high","high",0.630255375716153
"70-79","female","mid","low","low","high","high","low",0.629231496594561
"70-79","female","low","low","low","mid","mid","low",0.627357074595521
"80+","male","low","high","low","high","mid","low",0.626410010660947
"70-79","male","mid","low","low","mid","mid","low",0.626133782299856
"80+","female","low","low","low","mid","mid","mid",0.623406585820717
"70-79","female","low","low","low","high","low","low",0.623143173659724
"80+","female","low","mid","low","mid","high","low",0.622912373840397
"80+","male","mid","low","low","mid","high","low",0.622666756824069
"70-79","male","mid","low","low","high","low","low",0.621914384950044
"70-79","female","low","low","high","low","mid","low",0.62168699544553
"70-79","male","low","mid","low","high","high","low",0.621605631959166
"80+","male","low","low","low","low","mid","mid",0.620128696947676
"80+","male","mid","low","low","high","mid","high",0.619638456666225
"80+","male","high","low","low","high","low","low",0.619185938447329
"80+","female","mid","mid","low","high","low","low",0.618237659298667
"80+","female","low","low","high","low","mid","mid",0.617713025345652
"80+","male","low","mid","low","high","high","mid",0.617251926590464
"80+","female","low","mid","high","low","high","low",0.61721592940447
"80+","male","low","low","high","high","high","low",0.616772374753334
"80+","male","low","low","mid","low","high","low",0.61663474433513
"65-69","male","low","low","low","low","high","low",0.612235156973728
"80+","male","low","low","low","mid","mid","high",0.61109410438571
"80+","female","mid","low","mid","low","mid","low",0.610419483610352
"80+","female","low","mid","low","mid","low","low",0.609681661423888
"65-69","male","high","low","low","high","mid","low",0.607173554051795
"80+","female","low","low","mid","mid","low","low",0.605418754929182
"80+","male","low","low","high","low","mid","high",0.605332243185708
"80+","male","high","low","low","high","high","low",0.604885698472767
"80+","male","low","mid","low","high","low","mid",0.603948883073666
"80+","female","low","mid","high","low","low","low",0.60391243759747
"80+","female","mid","low","low","low","low","low",0.603435050441535
"80+","male","low","low","mid","mid","mid","low",0.603415173102786
"80+","male","mid","low","low","low","mid","low",0.601428027172627
"80+","female","mid","low","low","high","low","mid",0.601018064632812
"80+","female","low","low","mid","high","mid","low",0.600198617195757
"80+","male","mid","mid","low","high","high","low",0.598501327703145
"70-79","male","low","low","low","high","high","high",0.597366481956377
"70-79","male","mid","low","low","high","high","mid",0.593096202503859
"80+","female","low","low","low","mid","low","mid",0.592330623593274
"70-79","male","low","low","low","mid","mid","mid",0.591157795800187
"80+","female","low","low","mid","mid","high","low",0.590943070204455
"80+","male","low","mid","low","mid","high","low",0.589796488619461
"80+","male","low","low","low","low","low","mid",0.588960591772981
"80+","female","mid","low","low","low","high","low",0.588936003235896
"65-69","male","low","high","low","high","high","low",0.588932737173392
"80+","male","mid","low","low","high","low","high",0.588456821882961
"65-69","male","high","low","low","high","high","low",0.587602195533881
"80+","female","low","low","high","mid","mid","low",0.58750637009513
"70-79","male","low","low","low","high","low","mid",0.586804155934596
"80+","female","mid","low","low","high","high","mid",0.586491204051036
"80+","female","low","low","high","low","low","mid",0.586478884859038
"70-79","male","low","low","high","low","mid","mid",0.585301008509607
"80+","male","mid","mid","low","high","low","low",0.584984758254777
"80+","male","low","mid","high","low","high","low",0.58393392539708
"65-69","female","low","low","low","high","mid","low",0.58343904311687
"65-69","male","low","low","low","mid","mid","mid",0.583044718299889
"80+","female","high","low","high","low","mid","low",0.580388058928996
"80+","male","low","low","low","mid","low","high",0.579687146278956
"80+","female","mid","low","mid","low","low","low",0.578995578554999
"70-79","male","low","low","low","low","high","low",0.578814543883188
"80+","female","low","low","low","mid","high","mid",0.577709700860475
"70-79","male","low","mid","low","high","mid","low",0.577439947317721
"70-79","male","mid","low","low","high","mid","high",0.577408240249697
"65-69","male","low","low","high","low","mid","mid",0.577154840560587
"80+","male","mid","low","mid","low","mid","low",0.576951580666588
"80+","male","low","mid","low","mid","low","low",0.576194380946376
"70-79","male","high","low","low","high","high","low",0.575047012994514
"80+","male","low","low","low","low","high","mid",0.574305666912222
"65-69","male","low","low","low","high","low","mid",0.57403425386444
"80+","male","mid","low","low","high","high","high",0.573796933531848
"80+","male","low","low","high","low","low","high",0.573784510989622
"65-69","male","mid","low","low","high","mid","mid",0.573098368290063
"80+","female","mid","mid","low","high","mid","low",0.572222475411439
"80+","male","low","low","mid","mid","low","low",0.571822593875828
"80+","female","low","low","high","low","high","mid",0.571799808533958
"80+","male","low","mid","high","low","low","low",0.570279056218407
"80+","male","mid","low","low","low","low","low",0.569790009506285
"65-69","male","low","mid","low","high","mid","low",0.569253003561386
"80+","female","low","low","mid","high","low","low",0.5685330213889
"80+","male","low","low","mid","high","mid","low",0.566476261013471
"70-79","female","low","low","low","mid","high","low",0.566413461357471
"70-79","male","low","low","high","high","mid","low",0.56588124852639
"70-79","male","low","low","mid","low","mid","low",0.565738209782631
"80+","female","mid","high","low","high","high","low",0.565227736723411
"70-79","male","mid","low","low","mid","high","low",0.565128785852339
"80+","male","low","low","low","mid","high","high",0.564945821816631
"80+","female","mid","low","mid","low","high","low",0.564248231653368
"65-69","female","low","low","low","high","high","low",0.563535221428625
"80+","female","low","mid","low","mid","mid","low",0.563363547721562
"65-69","male","low","low","low","mid","high","mid",0.563136163169794
"70-79","female","low","low","high","low","high","low",0.560465757556835
"70-79","female","low","low","low","low","mid","low",0.559905109482611
"80+","male","low","low","high","low","high","high",0.558993660616283
"70-79","male","low","low","low","mid","low","low",0.558726035418175
"70-79","male","mid","low","low","low","mid","low",0.558616177326048
"65-69","male","low","low","high","high","mid","low",0.557641916683646
"65-69","male","low","low","mid","low","mid","low",0.557498286030863
"80+","male","low","mid","low","high","mid","mid",0.55744428698783
"70-79","female","low","low","low","high","mid","mid",0.557417403224819
"80+","female","low","mid","high","low","mid","low",0.557406698180386
"65-69","male","low","low","high","low","high","mid",0.557178649873383
"80+","male","low","low","mid","mid","high","low",0.557016222994507
"80+","female","low","high","low","mid","high","low",0.556336264999511
"70-79","female","high","low","low","high","mid","low",0.556098153259699
"80+","female","low","low","low","low","mid","mid",0.555745915543815
"80+","female","low","low","high","mid","low","low",0.555579862104268
"80+","female","low","mid","low","low","high","low",0.555226260653789
"80+","male","mid","low","low","low","high","low",0.55496805389191
"70-79","male","low","high","low","high","high","low",0.554963642695978
"80+","female","mid","low","high","low","mid","low",0.554055822394099
"80+","female","low","low","mid","high","high","low",0.553701679806065
"80+","male","low","low","high","mid","mid","low",0.553509847070071
"65-69","male","mid","low","low","high","high","mid",0.553078935071176
"70-79","male","low","low","high","low","low","low",0.552756145238615
"80+","female","low","mid","low","high","high","mid",0.552733233759257
"80+","male","mid","low","low","mid","mid","mid",0.551962036807799
"80+","female","mid","low","mid","mid","mid","low",0.550538922217009
"80+","male","low","high","low","high","high","mid",0.550397767114181
"80+","female","low","high","high","low","high","low",0.55036006256231
"80+","female","high","low","high","low","low","low",0.548334163108113
"80+","male","high","low","high","low","mid","low",0.54625796189219
"70-79","female","mid","low","low","mid","mid","low",0.546086764257099
"80+","male","low","low","high","high","mid","mid",0.545768882711497
"65-69","male","low","low","low","mid","low","low",0.54576009866762
"80+","male","low","low","mid","low","mid","mid",0.545624538156493
"80+","male","mid","low","mid","low","low","low",0.544841043523475
"65-69","male","mid","low","low","mid","mid","low",0.54481135184758
"80+","male","low","low","low","low","mid","high",0.542843505212747
"80+","female","mid","low","low","high","mid","high",0.542356060267869
"70-79","female","mid","low","low","high","low","low",0.541625320679681
"80+","female","low","mid","low","low","low","low",0.541369219307784
"70-79","female","low","mid","low","high","high","low",0.541299360752732
"80+","female","low","low","high","mid","high","low",0.540663002093495
"70-79","male","mid","mid","low","high","high","low",0.54000070544093
"80+","male","low","mid","low","high","high","high",0.539815778149366
"65-69","male","low","low","high","low","low","low",0.539759288839689
"80+","female","high","low","low","mid","mid","low",0.539321382927837
"80+","female","low","mid","low","high","low","mid",0.538863030211739
"65-69","male","low","mid","low","high","high","mid",0.537987073933564
"80+","male","mid","mid","low","high","mid","low",0.537956950398213
"65-69","male","low","low","high","high","high","low",0.53748262618374
"65-69","male","low","low","mid","low","high","low",0.537337880660937
"65-69","male","mid","low","low","high","low","low",0.535632710451465
"80+","male","low","low","mid","high","low","low",0.534212526963545
"70-79","male","mid","low","mid","low","mid","low",0.533549687345335
"80+","female","low","low","low","mid","mid","high",0.533382984723569
"80+","female","high","low","high","low","high","low",0.533378362412645
"80+","male","high","low","low","high","mid","mid",0.533346171892515
"80+","female","mid","high","low","high","low","low",0.532708526973948
"70-79","male","high","low","high","low","mid","low",0.53125403253024
"80+","male","mid","high","low","high","high","low",0.530861278000927
"80+","male","mid","low","mid","low","high","low",0.529868746644172
"80+","male","low","mid","low","mid","mid","low",0.528972531079869
"70-79","male","low","high","low","high","mid","low",0.528814823587255
"70-79","male","low","low","low","mid","high","mid",0.528741129660646
"80+","female","low","low","high","low","mid","high",0.527360268014493
"80+","male","low","mid","low","high","low","high",0.525888594824838
"65-69","male","mid","low","low","mid","high","low",0.524565861886184
"80+","female","low","high","low","mid","low","low",0.523712408396851
"80+","female","mid","high","low","high","mid","low",0.523492408074787
"80+","female","low","low","low","low","low","mid",0.523355543547526
"80+","male","low","mid","high","low","mid","low",0.522943802758673
"70-79","male","low","low","high","low","high","mid",0.522712111955862
"70-79","male","low","low","low","low","mid","mid",0.52214436580472
"80+","male","low","high","low","mid","high","low",0.521861516438692
"80+","female","mid","low","high","low","low","low",0.52164829000144
"80+","male","low","low","high","mid","low","low",0.521096932848782
"80+","male","low","mid","low","low","high","low",0.520739562511871
"65-69","male","low","high","low","high","mid","low",0.520468142713975
"80+","male","mid","low","high","low","mid","low",0.519556900773764
"80+","male","mid","low","low","mid","low","mid",0.519534294539484
"80+","male","low","low","mid","high","high","low",0.519199135866839
"70-79","male","high","low","low","high","mid","mid",0.518291790430602
"80+","female","mid","low","mid","mid","low","low",0.51809810609622
"80+","male","low","high","low","high","low","mid",0.517715786216699
"80+","female","low","high","high","low","low","low",0.51767774267401
